OrderID,CustomerID,OrderDate,RequiredDate,ShippedDate
11008,ERNSH,1998-04-08 00:00:00.000,1998-05-06 00:00:00.000,NULL
11019,RANCH,1998-04-13 00:00:00.000,1998-05-11 00:00:00.000,NULL
11039,LINOD,1998-04-21 00:00:00.000,1998-05-19 00:00:00.000,NULL
11040,GREAL,1998-04-22 00:00:00.000,1998-05-20 00:00:00.000,NULL
11045,BOTTM,1998-04-23 00:00:00.000,1998-05-21 00:00:00.000,NULL
11051,LAMAI,1998-04-27 00:00:00.000,1998-05-25 00:00:00.000,NULL
11054,CACTU,1998-04-28 00:00:00.000,1998-05-26 00:00:00.000,NULL
11058,BLAUS,1998-04-29 00:00:00.000,1998-05-27 00:00:00.000,NULL
11059,RICAR,1998-04-29 00:00:00.000,1998-06-10 00:00:00.000,NULL
11061,GREAL,1998-04-30 00:00:00.000,1998-06-11 00:00:00.000,NULL
11062,REGGC,1998-04-30 00:00:00.000,1998-05-28 00:00:00.000,NULL
11065,LILAS,1998-05-01 00:00:00.000,1998-05-29 00:00:00.000,NULL
11068,QUEEN,1998-05-04 00:00:00.000,1998-06-01 00:00:00.000,NULL
11070,LEHMS,1998-05-05 00:00:00.000,1998-06-02 00:00:00.000,NULL
11071,LILAS,1998-05-05 00:00:00.000,1998-06-02 00:00:00.000,NULL
11072,ERNSH,1998-05-05 00:00:00.000,1998-06-02 00:00:00.000,NULL
11073,PERIC,1998-05-05 00:00:00.000,1998-06-02 00:00:00.000,NULL
11074,SIMOB,1998-05-06 00:00:00.000,1998-06-03 00:00:00.000,NULL
11075,RICSU,1998-05-06 00:00:00.000,1998-06-03 00:00:00.000,NULL
11076,BONAP,1998-05-06 00:00:00.000,1998-06-03 00:00:00.000,NULL
11077,RATTC,1998-05-06 00:00:00.000,1998-06-03 00:00:00.000,NULL
